OP_CODE   FUN_CODE  BANDERAS  CLR       LF           MICROINSTRUCCION      NIVEL 
00000     0000      0000       1          0          04C19  ALTO
00000     0000      0000       1          0          04C19  BAJO
00000     0000      0000       1          0          04C19  ALTO
00000     0000      0000       1          0          04C19  BAJO
00000     0000      0001       0          1          04C19  ALTO
00000     0000      0001       0          1          04C19  BAJO
00000     0000      0010       0          1          04C19  ALTO
00000     0000      0010       0          1          04C19  BAJO
00000     0001      0001       0          1          04C39  ALTO
00000     0001      0001       0          1          04C39  BAJO
00000     0010      0100       0          1          04C01  ALTO
00000     0010      0100       0          1          04C01  BAJO
00000     0011      1100       0          1          04C09  ALTO
00000     0011      1100       0          1          04C09  BAJO
00000     0100      0011       0          1          04C11  ALTO
00000     0100      0011       0          1          04C11  BAJO
00000     0101      1000       0          1          04C69  ALTO
00000     0101      1000       0          1          04C69  BAJO
00000     0110      0001       0          1          04C61  ALTO
00000     0110      0001       0          1          04C61  BAJO
00000     0111      0100       0          1          04C31  ALTO
00000     0111      0100       0          1          04C31  BAJO
00000     1000      0010       0          1          04C69  ALTO
00000     1000      0010       0          1          04C69  BAJO
00000     1001      0000       0          0          03800  ALTO
00000     1001      0000       0          0          03800  BAJO
00000     1010      0000       0          0          02800  ALTO
00000     1010      0000       0          0          02800  BAJO
00000     1011      0000       0          0          00000  ALTO
00000     1011      0000       0          0          00000  BAJO
00000     1100      0000       0          0          00000  ALTO
00000     1100      0000       0          0          00000  BAJO
00001     0111      0000       0          0          00800  ALTO
00001     0111      0000       0          0          00800  BAJO
00010     0100      0000       0          0          04804  ALTO
00010     0100      0000       0          0          04804  BAJO
00011     1000      0000       0          0          08006  ALTO
00011     1000      0000       0          0          08006  BAJO
00100     0110      0000       0          0          0869A  ALTO
00100     0110      0000       0          0          0869A  BAJO
00101     0000      0010       0          1          04C99  ALTO
00101     0000      0010       0          1          04C99  BAJO
00110     0110      0001       0          1          04CB9  ALTO
00110     0110      0001       0          1          04CB9  BAJO
00111     0100      0011       0          1          04C81  ALTO
00111     0100      0011       0          1          04C81  BAJO
01000     1010      0100       0          1          04C89  ALTO
01000     1010      0100       0          1          04C89  BAJO
01001     0100      1000       0          1          04C91  ALTO
01001     0100      1000       0          1          04C91  BAJO
01010     0001      1100       0          1          04CE9  ALTO
01010     0001      1100       0          1          04CE9  BAJO
01011     0011      0101       0          1          04CE1  ALTO
01011     0011      0101       0          1          04CE1  BAJO
01100     1111      1010       0          1          04CB1  ALTO
01100     1111      1010       0          1          04CB1  BAJO
10111     0000      0000       0          1          04E98  ALTO
10111     0000      0000       0          1          04E98  BAJO
01101     1111      0000       0          1          08438  ALTO
01101     1111      0000       0          1          08438  BAJO
01101     1011      0010       0          1          08438  ALTO
01101     1011      0010       0          1          08438  BAJO
01101     1101      0010       0          1          08438  ALTO
01101     1101      0010       0          1          08438  BAJO
01110     1110      0010       0          1          30599  ALTO
01110     1110      0010       0          1          08438  BAJO
01110     1100      0000       0          1          30599  ALTO
01110     1100      0000       0          1          08438  BAJO
01110     0011      0000       0          1          30599  ALTO
01110     0011      0000       0          1          08438  BAJO
01111     0001      1100       0          1          08438  ALTO
01111     0001      1100       0          1          08438  BAJO
01111     0000      1000       0          1          08438  ALTO
01111     0000      1000       0          1          08438  BAJO
01111     0010      0100       0          1          30599  ALTO
01111     0010      0100       0          1          08438  BAJO
10000     0100      0000       0          1          30599  ALTO
10000     0100      0000       0          1          08438  BAJO
10000     0110      1110       0          1          08438  ALTO
10000     0110      1110       0          1          08438  BAJO
10000     0101      1000       0          1          08438  ALTO
10000     0101      1000       0          1          08438  BAJO
10001     0111      1010       0          1          08438  ALTO
10001     0111      1010       0          1          08438  BAJO
10001     1010      1100       0          1          08438  ALTO
10001     1010      1100       0          1          08438  BAJO
10001     1000      0000       0          1          30599  ALTO
10001     1000      0000       0          1          08438  BAJO
10010     1111      1000       0          1          30599  ALTO
10010     1111      1000       0          1          08438  BAJO
10010     1001      1010       0          1          08438  ALTO
10010     1001      1010       0          1          08438  BAJO
10010     1101      1100       0          1          08438  ALTO
10010     1101      1100       0          1          08438  BAJO
10011     1001      1100       0          0          20000  ALTO
10011     1001      1100       0          0          20000  BAJO
10100     1111      0000       0          0          A0000  ALTO
10100     1111      0000       0          0          A0000  BAJO
10101     0000      0000       0          0          40000  ALTO
10101     0000      0000       0          0          40000  BAJO
10110     0000      0000       0          0          00000  ALTO
10110     0000      0000       0          0          00000  BAJO
11000     0000      0000       0          0          00000  ALTO
11000     0000      0000       0          0          00000  BAJO
